"About the data: Exported on Jun 01, 2020. Criteria: Text - '""water insecurity"" OR ""water security"" ' in title and abstract. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
20,pub.1058337526,10.1080/03632415.2014.883570,,,Understanding Barotrauma in Fish Passing Hydro Structures: A Global Strategy for Sustainable Development of Water Resources,Fisheries,,Wiley,,2014-03-04,2014,39,3,108-122,Closed,Article,"Brown, Richard S.; Colotelo, Alison H.; Pflugrath, Brett D.; Boys, Craig A.; Baumgartner, Lee J.; Deng, Z. Daniel; Silva, Luiz G. M.; Brauner, Colin J.; Mallen-Cooper, Martin; Phonekhampeng, Oudom; Thorncraft, Garry; Singhanouvong, Douangkham",,"Brown, Richard S. (Pacific Northwest National Laboratory); Colotelo, Alison H. (Pacific Northwest National Laboratory); Pflugrath, Brett D. (Pacific Northwest National Laboratory); Boys, Craig A. (New South Wales Department of Primary Industries); Baumgartner, Lee J. (New South Wales Department of Primary Industries); Deng, Z. Daniel (Pacific Northwest National Laboratory); Silva, Luiz G. M. (Federal University of São João del-Rei); Brauner, Colin J. (University of British Columbia); Mallen-Cooper, Martin (); Phonekhampeng, Oudom (National University of Laos); Thorncraft, Garry (National University of Laos); Singhanouvong, Douangkham ()",University of British Columbia; Federal University of São João del-Rei; New South Wales Department of Primary Industries; Pacific Northwest National Laboratory; National University of Laos,grid.17091.3e; grid.428481.3; grid.1680.f; grid.451303.0; grid.38407.38,Vancouver; Divinópolis; Orange; Richland; Vientiane,British Columbia; ; New South Wales; Washington; ,Canada; Brazil; Australia; United States; Laos,,,,,,44,28,,7.93,70,,https://app.dimensions.ai/details/publication/pub.1058337526,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,,,,,,C14 Geography and Environmental Studies,7 Affordable and Clean Energy
108,pub.1069136091,10.2166/washdev.2013.140,,,When water is scarce: the perception of water quality and effects on the vulnerable,Journal of Water Sanitation and Hygiene for Development,,IWA Publishing,,2014-03-01,2014,4,1,43-50,Closed,Article,"Alhassan, Hamdiyah; Kwakwa, Paul Adjei",,"Alhassan, Hamdiyah (University for Development Studies); Kwakwa, Paul Adjei ()",University for Development Studies,grid.442305.4,Tamale,,Ghana,,,,,,10,7,,2.06,,,https://app.dimensions.ai/details/publication/pub.1069136091,09 Engineering; 12 Built Environment and Design; 0502 Environmental Science and Management; 1205 Urban and Regional Planning; 05 Environmental Sciences; 0907 Environmental Engineering,Clinical Research; Pediatric,,,,,"A02 Public Health, Health Services and Primary Care",6 Clean Water and Sanitation
25,pub.1069137935,10.2166/wp.2014.001,,,The Harvard Water Federalism Project – process and substance,Water Policy,,IWA Publishing,,2014-03-01,2014,16,S1,1-10,All OA; Bronze,Article,"Briscoe, John",,"Briscoe, John ()",,,,,,,,,,,5,3,,3.35,,https://iwaponline.com/wp/article-pdf/16/S1/1/405492/1.pdf,https://app.dimensions.ai/details/publication/pub.1069137935,1606 Political Science; 16 Studies in Human Society,,,,,,C23 Education,
40,pub.1033678701,10.1016/s1359-6128(14)70114-4,,,Xylem joins US Water Partnership,Pump Industry Analyst,,Elsevier,,2014-03,2014,2014,3,13,Closed,Article,,,,,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1033678701,,,,,,,,6 Clean Water and Sanitation
40,pub.1029126337,10.1016/s1365-6937(14)70074-7,,,Xylem joins US Water Partnership,Filtration Industry Analyst,,Elsevier,,2014-03,2014,2014,3,4,Closed,Article,,,,,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1029126337,,,,,,,,6 Clean Water and Sanitation
35,pub.1037751120,10.1002/rra.2637,,,EVALUATING TRADEOFFS BETWEEN ENVIRONMENTAL FLOW PROTECTIONS AND AGRICULTURAL WATER SECURITY,River Research and Applications,,Wiley,,2014-03,2014,30,3,315-328,Closed,Article,"Grantham, T. E.; Mezzatesta, M.; Newburn, D. A.; Merenlender, A. M.",,"Grantham, T. E. (University of California, Davis); Mezzatesta, M. (Federal Energy Regulatory Commission); Newburn, D. A. (University of Maryland, College Park); Merenlender, A. M. ()","University of Maryland, College Park; Federal Energy Regulatory Commission; University of California, Davis",grid.164295.d; grid.431371.3; grid.27860.3b,College Park; Washington D.C.; Davis,Maryland; District of Columbia; California,United States; United States; United States,,,,,,23,7,,3.77,1,,https://app.dimensions.ai/details/publication/pub.1037751120,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,"16 Peace, Justice and Strong Institutions"
20,pub.1041629597,10.1007/s13412-014-0163-2,,,Making critical connections through interdisciplinary analysis: exploring the impacts of Marcellus shale development,Journal of Environmental Studies and Sciences,,Springer Nature,,2014-03,2014,4,1,1-6,Closed,Article,"Kinne, Beth E.; Finewood, Michael H.; Yoxtheimer, David","Kinne, Beth E. (Hobart and William Smith Colleges)","Kinne, Beth E. (Hobart and William Smith Colleges); Finewood, Michael H. (Chatham University); Yoxtheimer, David (Pennsylvania State University)",Pennsylvania State University; Hobart and William Smith Colleges; Chatham University,grid.29857.31; grid.257037.4; grid.411264.4,State College; Geneva; Pittsburgh,Pennsylvania; New York; Pennsylvania,United States; United States; United States,,,,,,6,1,,1.12,3,,https://app.dimensions.ai/details/publication/pub.1041629597,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,7 Affordable and Clean Energy
20,pub.1046660144,10.1007/s10584-013-0893-2,,,"Hydro-climatic change, conflict and security",Climatic Change,,Springer Nature,,2014-03,2014,123,1,69-82,Closed,Article,"Kallis, Giorgos; Zografos, Christos","Zografos, Christos (Autonomous University of Barcelona)","Kallis, Giorgos (Catalan Institution for Research and Advanced Studies); Zografos, Christos (Autonomous University of Barcelona)",Catalan Institution for Research and Advanced Studies; Autonomous University of Barcelona,grid.425902.8; grid.7080.f,Barcelona; Cerdanyola del Vallès,; ,Spain; Spain,European Commission,cOAlition S; European Union (EC & ERC),Belgium,grant.3789224,244443,17,5,,18.07,9,,https://app.dimensions.ai/details/publication/pub.1046660144,1606 Political Science; 16 Studies in Human Society,,,,,,C14 Geography and Environmental Studies,"16 Peace, Justice and Strong Institutions; 13 Climate Action"
20,pub.1012223178,10.1088/1755-1315/18/1/012187,,,Assessing water availability over peninsular Malaysia using public domain satellite data products,IOP Conference Series Earth and Environmental Science,,IOP Publishing,,2014-02-25,2014,18,1,012187,All OA; Pure Gold,Article,"Ali, M I; Hashim, M; Zin, H S M",,"Ali, M I (University of Malaysia); Hashim, M (University of Technology Malaysia); Zin, H S M (University of Technology Malaysia)",University of Malaysia; University of Technology Malaysia,grid.440438.f; grid.410877.d,Kuantan; Johor Bahru,; ,Malaysia; Malaysia,,,,,,0,0,,0.0,,http://iopscience.iop.org/article/10.1088/1755-1315/18/1/012187/pdf,https://app.dimensions.ai/details/publication/pub.1012223178,09 Engineering; 0909 Geomatic Engineering,,,,,,B12 Engineering,
17,pub.1085254143,10.24925/turjaf.v2i2.71-85.60,,,"Impacts of the Climate Change on Agricultural Food Security, Traditional Knowledge and Agroecology",Turkish Journal of Agriculture - Food Science and Technology,,Turkish Journal of Agriculture - Food Science and Technology (TURJAF),,2014-02-20,2014,2,2,71-85,All OA; Pure Gold,Article,"Türkeş, Murat",,"Türkeş, Murat (Middle East Technical University)",Middle East Technical University,grid.6935.9,Ankara,Ankara,Turkey,,,,,,1,1,,0.19,,http://www.agrifoodscience.com/index.php/TURJAF/article/download/60/30,https://app.dimensions.ai/details/publication/pub.1085254143,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,B07 Earth Systems and Environmental Sciences,13 Climate Action; 2 Zero Hunger
28,pub.1013784125,10.11001/jksww.2014.28.1.111,,,Feasibility Study on Introduction of Decentralized Water Supply System for Improving Water Security and Sustainability,Journal of The Korean Society of Water and Wastewater,,The Korean Society of Water and Wastewater,,2014-02-15,2014,28,1,111-124,All OA; Bronze,Article,"Kim, Kwan-Yeop; Kim, Seong-Su; Park, No-Suk",,"Kim, Kwan-Yeop (); Kim, Seong-Su (); Park, No-Suk ()",,,,,,"Ministry of Land, Infrastructure and Transport",,South Korea,,,1,1,,0.18,,http://society.kisti.re.kr/sv/SV_svpsbs03V.do?method=download&cn1=JAKO201415641084802,https://app.dimensions.ai/details/publication/pub.1013784125,09 Engineering; 0907 Environmental Engineering,,,,,,B12 Engineering,
17,pub.1025741560,10.1002/hyp.9677,,,Response of hydrology to climate change in the southern Appalachian Mountains using Bayesian inference,Hydrological Processes,,Wiley,,2014-02-15,2014,28,4,1616-1626,Closed,Article,"Wu, Wei; Clark, James S.; Vose, James M.",,"Wu, Wei (Duke University); Clark, James S. (Duke University); Vose, James M. ()",Duke University,grid.26009.3d,Durham,North Carolina,United States,,,,,,5,2,,0.81,,,https://app.dimensions.ai/details/publication/pub.1025741560,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,,,,,,C14 Geography and Environmental Studies,13 Climate Action
84,pub.1071221933,10.3368/aa.51.2.9,,,"Exploring Water Insecurity in a Northern Indigenous Community in Canada: The ""Never-Ending Job"" of the Southern Inuit of Black Tickle, Labrador",Arctic Anthropology,,University of Wisconsin Press,,2014-02-01,2014,51,2,9-22,Closed,Article,"Hanrahan, M.; Sarkar, A.; Hudson, A.",,"Hanrahan, M. (); Sarkar, A. (); Hudson, A. ()",,,,,,,,,,,8,5,,6.41,,,https://app.dimensions.ai/details/publication/pub.1071221933,16 Studies in Human Society; 1601 Anthropology,,,,,,,
20,pub.1069137877,10.2166/wp.2013.058,,,"Climate-readiness, competition and sustainability: an analysis of the legal and regulatory frameworks for providing water services in Sydney",Water Policy,,IWA Publishing,,2014-02-01,2014,16,1,1-18,All OA; Bronze,Article,"Chong, Joanne",,"Chong, Joanne (University of Technology Sydney)",University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,,,,,,10,1,,4.44,,https://iwaponline.com/wp/article-pdf/16/1/1/405287/1.pdf,https://app.dimensions.ai/details/publication/pub.1069137877,1605 Policy and Administration; 16 Studies in Human Society,,,,,,"C13 Architecture, Built Environment and Planning",
20,pub.1069139177,10.2166/wqrjc.2013.001,,,Performance of reverse osmosis and manganese greensand plants in removing naturally occurring substances in drinking water,Water Quality Research Journal,,IWA Publishing,,2014-02-01,2014,49,1,72-81,Closed,Article,"Thirunavukkarasu, O. S.; Phommavong, T.; Jin, Y. C.; Ferris, S. A.",,"Thirunavukkarasu, O. S. (Water Security Agency); Phommavong, T. (); Jin, Y. C. (University of Regina); Ferris, S. A. (Water Security Agency)",University of Regina; Water Security Agency,grid.57926.3f; grid.474224.3,Regina; Moose Jaw,Saskatchewan; Saskatchewan,Canada; Canada,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1069139177,09 Engineering; 0904 Chemical Engineering,,,,,,B12 Engineering,
20,pub.1071963789,10.4028/www.scientific.net/amm.535.776,,,The Influence of Total Hardness on Chlorine Decay in Water Distribution Systems,Applied Mechanics and Materials,,Trans Tech Publications,,2014-02,2014,535,,776-784,Closed,Article,"Liu, Jing Qing; Jiang, Wei; Wu, Jian Min; Li, Cong",,"Liu, Jing Qing (Zhejiang University); Jiang, Wei (Zhejiang University); Wu, Jian Min (Zhejiang University); Li, Cong (Zhejiang University)",Zhejiang University,grid.13402.34,Hangzhou,Zhejiang,China,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1071963789,09 Engineering; 0904 Chemical Engineering,,,,,,B12 Engineering,6 Clean Water and Sanitation
25,pub.1023701331,10.5194/esd-5-55-2014,,,Modelling multiple threats to water security in the Peruvian Amazon using the WaterWorld policy support system,Earth System Dynamics,,Copernicus Publications,,2014-01-31,2014,5,1,55-65,All OA; Pure Gold,Article,"van Soesbergen, A. J. J.; Mulligan, M.",,"van Soesbergen, A. J. J. (King's College London); Mulligan, M. (King's College London)",King's College London,grid.13097.3c,London,,United Kingdom,,,,,,8,2,,1.07,,https://www.earth-syst-dynam.net/5/55/2014/esd-5-55-2014.pdf,https://app.dimensions.ai/details/publication/pub.1023701331,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,,,,,,C14 Geography and Environmental Studies,
25,pub.1019478909,10.1002/hyp.9663,,,"Separating the effects of changes in land management and climatic conditions on long‐term streamflow trends analyzed for a small catchment in the Loess Plateau region, NW China",Hydrological Processes,,Wiley,,2014-01-30,2014,28,3,1284-1293,Closed,Article,"Zhang, Lulu; Podlasly, Christian; Ren, Ye; Feger, Karl‐Heinz; Wang, Yanhui; Schwärzel, Kai",,"Zhang, Lulu (TU Dresden); Podlasly, Christian (TU Dresden); Ren, Ye (); Feger, Karl‐Heinz (TU Dresden); Wang, Yanhui (); Schwärzel, Kai (TU Dresden)",TU Dresden,grid.4488.0,Dresden,,Germany,,,,,,25,14,,3.65,18,,https://app.dimensions.ai/details/publication/pub.1019478909,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,B12 Engineering,13 Climate Action
60,pub.1074129570,10.9734/bjast/2014/13031,,,Rising Temperature and Declining Rainfall – a Threat to Water Security in Northern Region of Ghana,British Journal of Applied Science & Technology,,Sciencedomain International,,2014-01-10,2014,4,34,4721-4730,All OA; Hybrid,Article,"Emmanuel, Amankwah",,"Emmanuel, Amankwah ()",,,,,,,,,,,1,1,,,,https://doi.org/10.9734/bjast/2014/13031,https://app.dimensions.ai/details/publication/pub.1074129570,,,,,,,,
35,pub.1041814208,10.1080/07900627.2013.871971,,,The Gujarat State-Wide Water Supply Grid: a step towards water security,International Journal of Water Resources Development,,Taylor & Francis,,2014-01-02,2014,30,1,78-90,Closed,Article,"Biswas-Tortajada, Andrea",,"Biswas-Tortajada, Andrea ()",,,,,,,,,,,6,3,,1.75,3,,https://app.dimensions.ai/details/publication/pub.1041814208,09 Engineering; 0905 Civil Engineering; 16 Studies in Human Society; 1605 Policy and Administration; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,"C13 Architecture, Built Environment and Planning",6 Clean Water and Sanitation
25,pub.1035581417,10.1080/19361610.2014.851575,,,The Bioterrorism Act and Water Utilities Protection: How to Proceed from Policy to Practice,Journal of Applied Security Research,,Taylor & Francis,,2014-01-02,2014,9,1,97-108,Closed,Article,"Cinturati, Frank",,"Cinturati, Frank ()",,,,,,,,,,,4,3,,2.16,,,https://app.dimensions.ai/details/publication/pub.1035581417,1302 Curriculum and Pedagogy; 13 Education,Vaccine Related; Biodefense; Prevention,,,,,C18 Law,
20,pub.1049207398,10.1080/07900627.2012.755597,,,"Interbasin water transfers at the US–Mexico border city of Nogales, Sonora: implications for aquifers and water security",International Journal of Water Resources Development,,Taylor & Francis,,2014-01-02,2014,30,1,135-151,Closed,Article,"Prichard, Andrea Harrop; Scott, Christopher A.",,"Prichard, Andrea Harrop (); Scott, Christopher A. ()",,,,,,Directorate for Geosciences; National Oceanic and Atmospheric Administration; Directorate for Biological Sciences,NSF; NOAA,United States; United States; United States,grant.3130505; grant.3114119,1010495; 1138881,11,4,,1.93,,,https://app.dimensions.ai/details/publication/pub.1049207398,09 Engineering; 0907 Environmental Engineering,,,,,,B12 Engineering,6 Clean Water and Sanitation
20,pub.1021009790,10.1215/1089201x-2826061,,,Un/Known WatersNavigating Everyday Risks of Infrastructural Breakdown in Mumbai,Comparative Studies of South Asia Africa and the Middle East,,Duke University Press,,2014-01-01,2014,34,3,497-517,Closed,Article,"Björkman, Lisa",,"Björkman, Lisa ()",,,,,,,,,,,23,20,,4.03,2,,https://app.dimensions.ai/details/publication/pub.1021009790,09 Engineering; 0907 Environmental Engineering,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
20,pub.1016882978,10.14358/pers.80.1.81,,,Automated Cropland Classification Algorithm (ACCA) for California Using Multi-sensor Remote Sensing,Photogrammetric Engineering & Remote Sensing,,American Society for Photogrammetry and Remote Sensing,,2014-01-01,2014,80,1,81-90,Closed,Article,"Wu, Zhuoting; Thenkabail, Prasad S.; Verdin, James P.",,"Wu, Zhuoting (); Thenkabail, Prasad S. (); Verdin, James P. ()",,,,,,,,,,,10,1,,3.83,,,https://app.dimensions.ai/details/publication/pub.1016882978,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,,,,,,C14 Geography and Environmental Studies,2 Zero Hunger
17,pub.1050499299,10.1088/1748-9326/9/1/014005,,,Freshwater savings from marine protein consumption,Environmental Research Letters,,IOP Publishing,,2014-01-01,2014,9,1,014005,All OA; Pure Gold,Article,"Gephart, Jessica A; Pace, Michael L; D’Odorico, Paolo",,"Gephart, Jessica A (); Pace, Michael L (); D’Odorico, Paolo ()",,,,,,,,,,,20,5,,3.42,21,https://doi.org/10.1088/1748-9326/9/1/014005,https://app.dimensions.ai/details/publication/pub.1050499299,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,,,,,,C14 Geography and Environmental Studies,14 Life Below Water
195,pub.1027143296,10.1016/j.geoforum.2013.10.002,,,Measuring ‘no-win’ waterscapes: Experience-based scales and classification approaches to assess household water security in colonias on the US–Mexico border,Geoforum,,Elsevier,,2014-01,2014,51,,107-120,Closed,Article,"Jepson, Wendy",,"Jepson, Wendy (Texas A&M University)",Texas A&M University,grid.264756.4,College Station,Texas,United States,"Directorate for Social, Behavioral & Economic Sciences",NSF,United States,grant.3104380,0924232,63,33,,23.13,2,,https://app.dimensions.ai/details/publication/pub.1027143296,16 Studies in Human Society; 1604 Human Geography,,,,,,C14 Geography and Environmental Studies,2 Zero Hunger
70,pub.1004596331,10.1016/s0968-8080(14)43770-4,24908456,,"Population, sexual and reproductive health, rights and sustainable development: forging a common agenda",Sexual and Reproductive Health Matters,,Taylor & Francis,Climate Change; Conservation of Natural Resources; Consumer Advocacy; Cooperative Behavior; Developing Countries; Female; Health Policy; Humans; International Cooperation; Male; Population Dynamics; Reproductive Health; Reproductive Rights; Sexual Behavior,2014-01,2014,22,43,53-64,Closed,Article,"Newman, Karen; Fisher, Sarah; Mayhew, Susannah; Stephenson, Judith",,"Newman, Karen (); Fisher, Sarah (); Mayhew, Susannah (London School of Hygiene & Tropical Medicine); Stephenson, Judith ()",London School of Hygiene & Tropical Medicine,grid.8991.9,London,Camden,United Kingdom,Medical Research Council,cOAlition S; ICRP; UKRI,United Kingdom,grant.2776432,MR/K006584/1,10,3,0.4,3.39,4,,https://app.dimensions.ai/details/publication/pub.1004596331,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine,Contraception/Reproduction,Reproductive Health and Childbirth,,,,C18 Law,
60,pub.1039678812,10.1007/s11269-013-0496-8,,,Application of System Dynamics to Water Security Research,Water Resources Management,,Springer Nature,,2014-01,2014,28,2,287-300,Closed,Article,"Chen, Zhihe; Wei, Shuai","Wei, Shuai (Sun Yat-sen University)","Chen, Zhihe (Sun Yat-sen University); Wei, Shuai (Sun Yat-sen University)",Sun Yat-sen University,grid.12981.33,Guangzhou,Guangdong,China,National Natural Science Foundation of China,,China,grant.8255123; grant.4939550,51379225; 50909107,24,14,,4.31,,,https://app.dimensions.ai/details/publication/pub.1039678812,0907 Environmental Engineering; 09 Engineering; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,11 Sustainable Cities and Communities
25,pub.1041635629,10.1002/wat2.1005,,,Water security: pipe dream or reality? A global perspective from the UK,Wiley Interdisciplinary Reviews Water,,Wiley,,2014-01,2014,1,1,11-18,Closed,Article,"Norton, Michael R.",,"Norton, Michael R. ()",,,,,,,,,,,6,1,,1.05,,,https://app.dimensions.ai/details/publication/pub.1041635629,09 Engineering; 0907 Environmental Engineering,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation; 13 Climate Action
20,pub.1021682914,10.1016/j.geoderma.2013.08.013,,,The dimensions of soil security,Geoderma,,Elsevier,,2014-01,2014,213,,203-213,All OA; Hybrid,Article,"McBratney, Alex; Field, Damien J.; Koch, Andrea","Field, Damien J. (University of Sydney)","McBratney, Alex (University of Sydney); Field, Damien J. (University of Sydney); Koch, Andrea (University of Sydney)",University of Sydney,grid.1013.3,Sydney,New South Wales,Australia,Australian Research Council,,Australia,,,247,116,,44.77,14,https://doi.org/10.1016/j.geoderma.2013.08.013,https://app.dimensions.ai/details/publication/pub.1021682914,0503 Soil Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,B07 Earth Systems and Environmental Sciences,7 Affordable and Clean Energy
20,pub.1009893747,10.1002/app5.17,,,Forest Sustainability in China and Implications for a Telecoupled World,Asia & the Pacific Policy Studies,,Wiley,,2014-01,2014,1,1,230-250,"All OA; Green, Published",Article,"Liu, Jianguo",,"Liu, Jianguo (Michigan State University)",Michigan State University,grid.17088.36,East Lansing,Michigan,United States,,,,,,53,33,,37.31,6,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/app5.17,https://app.dimensions.ai/details/publication/pub.1009893747,1801 Law; 16 Studies in Human Society; 1606 Political Science; 18 Law and Legal Studies; 1605 Policy and Administration,Prevention,,,,,C14 Geography and Environmental Studies,2 Zero Hunger; 15 Life on Land
17,pub.1034420234,10.1002/wat2.1004,,,"Water, food, and energy security: scrambling for resources or solutions?",Wiley Interdisciplinary Reviews Water,,Wiley,,2014-01,2014,1,1,49-68,Closed,Article,"Perrone, Debra; Hornberger, George M.",,"Perrone, Debra (Vanderbilt University; Vanderbilt University; Vanderbilt University); Hornberger, George M. (Vanderbilt University; Vanderbilt University; Vanderbilt University)",Vanderbilt University,grid.152326.1,Nashville,Tennessee,United States,Environmental Protection Agency; Directorate for Geosciences,NSF,United States; United States,grant.3137090; grant.4597169,FP917358; 1204685,42,24,,23.99,19,,https://app.dimensions.ai/details/publication/pub.1034420234,1402 Applied Economics; 14 Economics,,,,,,B07 Earth Systems and Environmental Sciences,7 Affordable and Clean Energy; 6 Clean Water and Sanitation
118,pub.1023363781,10.4337/9781783470853.00012,,,"Chapter 5: The Middle East: climate change, water insecurity and hydro-diplomacy",,Global Environmental Law at a Crossroads,Edward Elgar Publishing,,2014,2014,,,83-100,Closed,Chapter,"Kornfeld, Itzchak E.",,"Kornfeld, Itzchak E. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1023363781,,,,,,,,
101,pub.1109738168,10.4135/9781473915602,,,Water Security,,,SAGE Publications,,2014,2014,,,,Closed,Monograph,"Jägerskog, Anders; Swain, Ashok; Öjendal, Joakim",,"Jägerskog, Anders (); Swain, Ashok (); Öjendal, Joakim ()",,,,,,,,,,,4,1,,,17,,https://app.dimensions.ai/details/publication/pub.1109738168,,,,,,,,
80,pub.1087928609,10.4135/9781446247501.n4132,,,water security,,Encyclopedia of Environmental Change,SAGE Publications,,2014,2014,,,,Closed,Chapter,"Matthews, John A.",,"Matthews, John A. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1087928609,,,,,,,,
71,pub.1039609510,10.4172/2157-7587.1000e118,,,Water Security in the Arab World (Demand and Supply),Hydrology Current Research,,OMICS International,,2014,2014,2014,04,,Closed,Article,"Elhag, Mohamed",,"Elhag, Mohamed ()",,,,,,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1039609510,0905 Civil Engineering; 09 Engineering; 0907 Environmental Engineering,,,,,,,
70,pub.1099535202,10.5040/9781501302343,,,"Water Security in India : Hope, despair, and the challenges of human development",,,Bloomsbury Academic,,2014,2014,,,,Closed,Monograph,,,,,,,,,,,,,,6,5,,,,,https://app.dimensions.ai/details/publication/pub.1099535202,,,,,,,,
60,pub.1032941389,10.1016/b978-0-12-411466-1.15004-9,,,Appendix D Physical Prevention Devices for Water Security,,"Drinking Water Security for Engineers, Planners, and Managers",Elsevier,,2014,2014,,,211-218,Closed,Chapter,,,,,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1032941389,,,,,,,,
60,pub.1017023340,10.4337/9781781955055.00018,,,Chapter 8: Main challenges and responses to federalism and water security in Brazil,,Federal Rivers,Edward Elgar Publishing,,2014,2014,,,120-138,Closed,Chapter,"Coelho, Ana Carolina; Braga, Benedito; Flecha, Rodrigo; Freitas, Nelson; da Silva, Osman F.",,"Coelho, Ana Carolina (); Braga, Benedito (); Flecha, Rodrigo (); Freitas, Nelson (); da Silva, Osman F. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1017023340,,,,,,,,
60,pub.1043240096,10.1016/b978-0-12-411466-1.15005-0,,,Appendix E Detection Devices for Water Security,,"Drinking Water Security for Engineers, Planners, and Managers",Elsevier,,2014,2014,,,219-228,Closed,Chapter,,,,,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1043240096,,,,,,,,
60,pub.1020425033,10.4337/9781781955055.00021,,,Chapter 10: Between a rock and a hard place: redefining water security under decentralization in Spain,,Federal Rivers,Edward Elgar Publishing,,2014,2014,,,158-176,Closed,Chapter,"López-Gunn, Elena; De Stefano, Lucia",,"López-Gunn, Elena (); De Stefano, Lucia ()",,,,,,,,,,,1,1,,,,,https://app.dimensions.ai/details/publication/pub.1020425033,,,,,,,,
60,pub.1109648688,10.1016/c2012-0-06924-4,,,"Drinking Water Security for Engineers, Planners, and Managers",,,Elsevier,,2014,2014,,,,Closed,Edited Book,,,,,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1109648688,,,,,,,,
60,pub.1009386653,10.4337/9781781955055.00036,,,Chapter 20: Water security in cross-border regions: what relevance for federal human security regimes?,,Federal Rivers,Edward Elgar Publishing,,2014,2014,,,325-338,Closed,Chapter,"Maganda, Carmen; Koff, Harlan",,"Maganda, Carmen (); Koff, Harlan ()",,,,,,,,,,,2,0,,,,,https://app.dimensions.ai/details/publication/pub.1009386653,,,,,,,,
50,pub.1052053579,10.4337/9781781002209.00027,,,Chapter 15: Renewable energy for food and water security projects in dry-land countries: Towards a model legal framework for the Qatar National Food Security Programme,,Research Handbook on International Energy Law,Edward Elgar Publishing,,2014,2014,,,387-404,Closed,Chapter,"Tscherning, Rudiger P.",,"Tscherning, Rudiger P. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1052053579,,,,,,,,7 Affordable and Clean Energy; 13 Climate Action
50,pub.1040560691,10.1016/b978-0-12-411466-1.15001-3,,,Appendix A List of Acronyms Used in Water Security Literature and Legislation,,"Drinking Water Security for Engineers, Planners, and Managers",Elsevier,,2014,2014,,,175-179,Closed,Chapter,,,,,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1040560691,,,,,,,,
